id;name;created;schedule;updated;created_by;updated_by;confirmed_by_student;confirmed_by_teacher;comment;payment;confirmed;rescheduled;connected;reoccurring;reoccurring_type
1;override systems;2020-12-16T03:43:39;2020-12-15T13:04:02;2020-12-15T16:37:03;fresh-thinking backing up open-source;iterate;mesh;grow Ergonomic Rubber Chips;Rustic;false;false;true;false;false;France withdrawal AGP
2;help-desk Afghani azure;2020-12-15T18:47:32;2020-12-15T12:38:22;2020-12-16T09:16:19;connecting;neural Switchable;invoice;Data Frozen;South Dakota Iraqi Dinar Chicken;false;false;false;false;true;Realigned Fundamental generate
3;Serbian Dinar Convertible Marks multimedia;2020-12-16T10:59:59;2020-12-15T12:07:20;2020-12-15T17:09:56;Optimization pixel deposit;vortals;Legacy;indexing;enterprise;true;true;false;true;false;transmit
4;Cambridgeshire Legacy Unbranded;2020-12-15T19:18:00;2020-12-16T04:48:58;2020-12-15T14:13:05;Bedfordshire Home implementation;firmware;New Leu Knoll Gourde US Dollar;Savings Account Unbranded;Chief primary yellow;false;true;false;false;true;Auto Loan Account Metal
5;protocol Solomon Islands Dollar Senior;2020-12-15T13:46:42;2020-12-15T23:07:07;2020-12-15T22:58:05;proactive workforce deposit;Wooden fresh-thinking Car;Soap;International CSS;Chief Unbranded;true;true;false;false;false;Mexican Peso Mexican Unidad de Inversion (UDI) generate
6;Forward protocol invoice;2020-12-15T16:31:26;2020-12-15T23:07:30;2020-12-15T21:24:47;Customer;Games Grocery holistic;Tactics;composite;Intelligent Cotton Computer Borders Ways;true;true;false;false;true;Analyst Checking Account
7;optical THX Creek;2020-12-16T00:35:26;2020-12-15T12:08:33;2020-12-16T08:31:59;Intuitive;Fresh payment;microchip;Senior portal Forward;programming;true;false;true;false;false;Ameliorated
8;Handmade;2020-12-16T05:15:26;2020-12-15T11:28:11;2020-12-16T05:45:28;matrix;Granite Libyan Dinar;IB optical array;Mouse;engineer Handmade Rubber Cheese;true;false;true;false;false;FTP copy Liberian Dollar
9;Japan New Jersey;2020-12-15T20:05:01;2020-12-15T12:01:29;2020-12-15T12:24:22;mesh Personal Loan Account;Integration hack Inlet;Implementation Toys;Accounts compress;Fantastic Metal Fish Unbranded Cotton Salad connect;true;false;false;true;false;Towels
10;invoice Burundi;2020-12-16T04:01:45;2020-12-15T13:30:02;2020-12-16T10:40:36;Rustic Clothing;Engineer Borders digital;Latvia Fantastic Human;methodologies GB;explicit Automotive indexing;false;true;true;true;true;connect Toys
