id;type;channel;recipient;send_date
1;Rustic bleeding-edge;green 1080p Metal;USB;2020-12-15T21:57:34
2;purple Shores transmitting;copying vertical;Rubber invoice Directives;2020-12-15T19:37:28
3;bluetooth payment;District Sports;invoice partnerships Forges;2020-12-15T11:52:55
4;Strategist;solutions;asymmetric Gloves mindshare;2020-12-15T19:41:03
5;compressing Unbranded Wooden Salad;payment Avon Terrace;interface;2020-12-15T19:12:29
6;Borders;metrics client-server;multi-byte Usability;2020-12-16T04:19:56
7;1080p;Spur Gorgeous Steel Bacon;Chair Gloves Associate;2020-12-16T04:53:52
8;Spring wireless Engineer;Kenya back up;withdrawal Pataca Checking Account;2020-12-16T01:17:53
9;Buckinghamshire Licensed;infrastructures;Lithuanian Litas Chief;2020-12-15T20:32:22
10;Global withdrawal;Fantastic European Monetary Unit (E.M.U.-6);scale SMTP Home;2020-12-16T08:18:48
