id;requested_user_id;request_code;request_type;required_action_from_user_id;created_by;created;updated
1;Representative;Accountability;Handcrafted Rubber Salad Hungary International;calculating Ville bandwidth;Mews virtual Product;2020-12-29T07:54:31;2020-12-29T04:24:23
2;Delaware;Springs;Reduced parse transform;wireless Berkshire;time-frame card Nakfa;2020-12-29T01:18:11;2020-12-29T03:33:28
3;calculating;payment Tuna Bacon;initiatives;Credit Card Account;Quality digital;2020-12-29T00:06:53;2020-12-29T04:36:51
4;Rhode Island attitude;Pants yellow AGP;Branding turquoise;Car Florida toolset;even-keeled Customer cross-platform;2020-12-29T04:36:50;2020-12-29T03:22:22
5;Baby Small Steel Car rich;Books aggregate Investment Account;ROI;XSS circuit innovate;Avon core Sleek Steel Chips;2020-12-29T13:28:47;2020-12-29T19:33:41
6;Bedfordshire Causeway Investment Account;Borders neural-net;Arkansas;help-desk Refined Agent;extensible;2020-12-29T05:17:05;2020-12-29T03:20:46
7;evolve synergies;withdrawal;wireless rich;sensor Rustic Fantastic;Philippines Strategist benchmark;2020-12-29T07:31:04;2020-12-28T22:12:47
8;Money Market Account Enterprise-wide;Games;mindshare;Books HTTP;EXE Hat feed;2020-12-29T08:01:48;2020-12-29T19:00:47
9;Alabama hub;heuristic;transmitting;Licensed Granite Tuna;Rufiyaa navigate Unbranded;2020-12-29T02:01:53;2020-12-29T16:45:00
10;Unbranded application;static Granite Ball;Lebanese Pound bypassing;productize;software Applications Faroe Islands;2020-12-29T07:53:46;2020-12-29T18:17:33
